,Emoji,Unicode codepoint,Occurrences,Position,Negative,Neutral,Positive,Unicode name,Unicode block,V,A,System
70,😈,0x1f608,325,0.762497655,66,106,153,SMILING FACE WITH HORNS,Emoticons,0.39166666666666666,0.8333333333333334,iOS
71,😰,0x1f630,302,0.919654285,132,44,126,FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons,0.31666666666666665,0.6466666666666666,Android
72,😰,0x1f630,302,0.919654285,132,44,126,FACE WITH OPEN MOUTH AND COLD SWEAT,Emoticons,0.20000000000000004,0.7066666666666667,iOS
73,😑,0x1f611,299,0.844272967,154,85,60,EXPRESSIONLESS FACE,Emoticons,0.38833333333333336,0.3333333333333333,Android
74,😑,0x1f611,299,0.844272967,154,85,60,EXPRESSIONLESS FACE,Emoticons,0.35833333333333334,0.455,iOS
75,😠,0x1f620,288,0.8492180890000001,163,49,76,ANGRY FACE,Emoticons,0.06666666666666665,0.88,Android
76,😠,0x1f620,288,0.8492180890000001,163,49,76,ANGRY FACE,Emoticons,0.17499999999999996,0.875,iOS
77,😓,0x1f613,273,0.844887359,118,59,96,FACE WITH COLD SWEAT,Emoticons,0.3416666666666666,0.5683333333333334,Android
78,😓,0x1f613,273,0.844887359,118,59,96,FACE WITH COLD SWEAT,Emoticons,0.3,0.605,iOS
79,😣,0x1f623,271,0.9033077209999999,147,35,89,PERSEVERING FACE,Emoticons,0.28,0.6833333333333332,Android
80,😣,0x1f623,271,0.9033077209999999,147,35,89,PERSEVERING FACE,Emoticons,0.29666666666666663,0.6416666666666666,iOS
81,😐,0x1f610,270,0.882732825,150,76,44,NEUTRAL FACE,Emoticons,0.5283333333333333,0.33,Android
82,😐,0x1f610,270,0.882732825,150,76,44,NEUTRAL FACE,Emoticons,0.4383333333333333,0.4266666666666667,iOS
83,😨,0x1f628,269,0.813687927,117,73,79,FEARFUL FACE,Emoticons,0.19666666666666668,0.8133333333333334,Android
84,😨,0x1f628,269,0.813687927,117,73,79,FEARFUL FACE,Emoticons,0.25666666666666665,0.6116666666666667,iOS
85,😖,0x1f616,268,0.868926665,130,50,88,CONFOUNDED FACE,Emoticons,0.1416666666666667,0.6883333333333334,Android
86,😖,0x1f616,268,0.868926665,130,50,88,CONFOUNDED FACE,Emoticons,0.24666666666666667,0.695,iOS
87,👎,0x1f44e,258,0.9144913459999999,128,51,79,THUMBS DOWN SIGN,Miscellaneous Symbols and Pictographs,0.16333333333333333,0.6416666666666666,Android
88,👎,0x1f44e,258,0.9144913459999999,128,51,79,THUMBS DOWN SIGN,Miscellaneous Symbols and Pictographs,0.17166666666666663,0.6083333333333334,iOS
89,😷,0x1f637,246,0.840376534,117,54,75,FACE WITH MEDICAL MASK,Emoticons,0.17,0.63,Android
90,😷,0x1f637,246,0.840376534,117,54,75,FACE WITH MEDICAL MASK,Emoticons,0.2416666666666667,0.5950000000000001,iOS
91,😛,0x1f61b,220,0.7344192629999999,18,50,152,FACE WITH STUCK-OUT TONGUE,Emoticons,0.5716666666666667,0.455,Android
92,😛,0x1f61b,220,0.7344192629999999,18,50,152,FACE WITH STUCK-OUT TONGUE,Emoticons,0.855,0.6333333333333333,iOS
93,😬,0x1f62c,214,0.7936798409999999,57,58,99,GRIMACING FACE,Emoticons,0.20833333333333334,0.875,Android
94,😬,0x1f62c,214,0.7936798409999999,57,58,99,GRIMACING FACE,Emoticons,0.34,0.5983333333333333,iOS
95,😙,0x1f619,191,0.875675106,3,34,154,KISSING FACE WITH SMILING EYES,Emoticons,0.7366666666666667,0.5866666666666666,Android
96,😙,0x1f619,191,0.875675106,3,34,154,KISSING FACE WITH SMILING EYES,Emoticons,0.7066666666666667,0.5449999999999999,iOS
97,💏,0x1f48f,185,0.72895246,33,46,106,KISS,Miscellaneous Symbols and Pictographs,0.4666666666666666,0.4083333333333334,Any
98,💏,0x1f48f,185,0.72895246,33,46,106,KISS,Miscellaneous Symbols and Pictographs,0.65,0.47500000000000003,Any
99,💏,0x1f48f,185,0.72895246,33,46,106,KISS,Miscellaneous Symbols and Pictographs,0.5116666666666667,0.47500000000000003,Any
100,😇,0x1f607,135,0.7818313309999999,9,36,90,SMILING FACE WITH HALO,Emoticons,0.7766666666666667,0.35333333333333333,Android
101,😇,0x1f607,135,0.7818313309999999,9,36,90,SMILING FACE WITH HALO,Emoticons,0.7583333333333333,0.43,iOS
102,😲,0x1f632,129,0.853619885,50,38,41,ASTONISHED FACE,Emoticons,0.26333333333333336,0.6916666666666668,Android
103,😲,0x1f632,129,0.853619885,50,38,41,ASTONISHED FACE,Emoticons,0.4083333333333334,0.6033333333333334,iOS
104,😶,0x1f636,117,0.868667638,50,34,33,FACE WITHOUT MOUTH,Emoticons,0.4183333333333333,0.3233333333333333,Android
105,😶,0x1f636,117,0.868667638,50,34,33,FACE WITHOUT MOUTH,Emoticons,0.4566666666666667,0.30666666666666664,iOS
106,😵,0x1f635,103,0.808813841,33,28,42,DIZZY FACE,Emoticons,0.31833333333333336,0.6983333333333334,Android
107,😵,0x1f635,103,0.808813841,33,28,42,DIZZY FACE,Emoticons,0.355,0.6083333333333334,iOS
108,😧,0x1f627,92,0.774990088,36,26,30,ANGUISHED FACE,Emoticons,0.2733333333333334,0.7200000000000001,Android
109,😧,0x1f627,92,0.774990088,36,26,30,ANGUISHED FACE,Emoticons,0.395,0.6216666666666667,iOS
110,😮,0x1f62e,90,0.774237435,16,33,41,FACE WITH OPEN MOUTH,Emoticons,0.4716666666666667,0.5166666666666666,Android
111,😮,0x1f62e,90,0.774237435,16,33,41,FACE WITH OPEN MOUTH,Emoticons,0.5,0.6916666666666668,iOS
112,😟,0x1f61f,80,0.824309355,28,18,34,WORRIED FACE,Emoticons,0.21666666666666665,0.59,Android
113,😟,0x1f61f,80,0.824309355,28,18,34,WORRIED FACE,Emoticons,0.26166666666666666,0.6266666666666666,iOS
114,👿,0x1f47f,70,0.9107307790000001,47,15,8,IMP,Miscellaneous Symbols and Pictographs,0.22833333333333336,0.8083333333333332,Android
115,👿,0x1f47f,70,0.9107307790000001,47,15,8,IMP,Miscellaneous Symbols and Pictographs,0.17499999999999996,0.7766666666666667,iOS
116,😯,0x1f62f,62,0.859007902,16,22,24,HUSHED FACE,Emoticons,0.5,0.5933333333333333,iOS
117,😦,0x1f626,54,0.882218595,30,15,9,FROWNING FACE WITH OPEN MOUTH,Emoticons,0.1416666666666667,0.7000000000000001,Android
118,😦,0x1f626,54,0.882218595,30,15,9,FROWNING FACE WITH OPEN MOUTH,Emoticons,0.35833333333333334,0.5800000000000001,iOS
119,😗,0x1f617,15,0.714328477,1,2,12,KISSING FACE,Emoticons,0.6516666666666667,0.4816666666666667,Android
120,😗,0x1f617,15,0.714328477,1,2,12,KISSING FACE,Emoticons,0.6666666666666666,0.48833333333333334,iOS
